,high,low,vol,last,buy,sell,open,date,coin
0,107671.22086000,103856.66816583,36.68787261,105580.94656000,105339.13757263,105539.47230943,104225.79140000,2022-11-04 13:10:23,BTC
1,8449.30971511,7870.17073169,369.19470509,8221.82981006,8221.72873668,8229.21629925,7939.95250000,2022-11-04 13:10:23,ETH
2,2.59990000,2.33383001,321372.10899475,2.47886000,2.47889,2.48674998,2.33876000,2022-11-04 13:10:11,XRP
3,354.21789000,314.28521000,741.29042325,344.84896999,342.75005001,344.83298999,314.28521000,2022-11-04 13:10:22,LTC
4,2.13000000,2.00285000,92984.02278583,2.08019999,2.08005001,2.0805,2.03500000,2022-11-04 13:10:23,ADA
5,0.58968000,0.56005000,39728.57427393,0.57282000,0.5724,0.57532,0.56279000,2022-11-04 13:10:23,XLM
6,42.83860000,39.47361000,3937.70254217,41.99549000,41.69002,41.9621,40.32065000,2022-11-04 13:10:20,LINK
7,0.69500000,0.59820000,687500.38163743,0.62700000,0.627,0.63218999,0.67457000,2022-11-04 13:10:24,DOGE
